timestamp,red,ir
8221219,80571,113715
8231219,80557,113714
8241219,80556,113718
8251219,80565,113727
8261219,80570,113727
8271219,80563,113737
8281219,80556,113753
8291219,80571,113756
8301219,80585,113754
8311219,80577,113746
8321219,80572,113751
8331219,80565,113750
8341219,80578,113741
8351219,80573,113701
8361219,80554,113629
8371219,80528,113539
8381219,80501,113434
8392219,80470,113317
8402219,80442,113202
8412219,80406,113114
8422219,80399,113063
8432219,80390,113055
8442219,80397,113075
8452219,80400,113118
8462219,80414,113164
8472219,80428,113219
8482219,80453,113260
8492219,80455,113312
8502219,80469,113338
8512219,80479,113368
8522219,80483,113398
8532219,80483,113420
8542219,80495,113442
8552219,80495,113456
8562219,80491,113489
8572219,80501,113482
8583219,80498,113505
8593219,80495,113512
8603219,80504,113544
8613219,80505,113557
8623219,80507,113567
8633219,80523,113581
8643219,80514,113604
8653219,80523,113614
8663219,80534,113622
8673219,80534,113622
8683219,80529,113630
8693219,80526,113629
8703219,80536,113637
8713219,80541,113660
8723219,80538,113658
8733219,80533,113658
8743219,80531,113672
8753219,80546,113672
8764219,80537,113663
8774219,80542,113687
8784219,80535,113687
8794219,80533,113698
8804219,80545,113725
8814219,80545,113720
8824219,80553,113723
8834219,80551,113738
8844219,80552,113732
8854219,80550,113741
8864219,80552,113744
8874219,80567,113755
8884219,80562,113751
8894219,80562,113748
8904219,80558,113745
8914219,80550,113759
8924219,80556,113738
8934219,80555,113743
8944219,80552,113751
8955219,80547,113749
8965219,80551,113772
8975219,80561,113771
8985219,80555,113771
8995219,80564,113774
9005219,80560,113781
9015219,80557,113784
9025219,80562,113799
9035219,80553,113789
9045219,80562,113794
9055219,80565,113794
9065219,80572,113810
9075219,80574,113810
9085219,80572,113813
9095219,80570,113812
9105219,80573,113813
9115219,80583,113815
9125219,80565,113814
9135219,80564,113821
9146219,80575,113826
9156219,80566,113822
9166219,80572,113836
9176219,80567,113846
9186219,80564,113856
9196219,80580,113862
9206219,80579,113874
9216219,80570,113876
9226219,80559,113888
9236219,80581,113908
9246219,80584,113909
9256219,80590,113921
9266219,80594,113930
9276219,80584,113931
9286219,80579,113943
9296219,80591,113940
9306219,80589,113933
9316219,80591,113931
9326219,80580,113911
9337219,80580,113884
9347219,80564,113818
9357219,80543,113768
9367219,80536,113741
9377219,80526,113710
9387219,80521,113704
9397219,80522,113705
9407219,80530,113746
9417219,80544,113753
9427219,80537,113781
9437219,80558,113791
9447219,80560,113808
9457219,80562,113827
9467219,80565,113829
9477219,80570,113864
9487219,80571,113843
9497219,80566,113860
9507219,80566,113866
9517219,80571,113872
9528219,80568,113890
9538219,80578,113884
9548219,80568,113906
9558219,80573,113903
9568219,80577,113918
9578219,80578,113919
9588219,80583,113919
